"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","SetupLeadLostReasonTest","Sanity Tests","Mon Aug 04 16:04:22 IST 2025","skipped","Mon Aug 04 16:04:22 IST 2025","Lead Process Field Setup Tests","","",""
"","14880","LeadStageCompleteTest","Sanity Tests","Mon Aug 04 19:15:54 IST 2025","passed","Mon Aug 04 19:16:09 IST 2025","Lead Process Field Setup Tests","","",""
"","55","RBL Lead Status Update","RBL Tests","Wed Aug 13 11:34:50 IST 2025","passed","Wed Aug 13 11:34:50 IST 2025","RBL - Lead Process Field Setup Tests > RBL Lead Status Creation and Updation","RBL/RBL/F_setupLeadProcessField.spec.js","",""
"","2673","Click on Ticket Stage for Update","Sanity Tests","Tue Aug 05 16:35:31 IST 2025","passed","Tue Aug 05 16:35:34 IST 2025","Ticket Process Field Setup Tests > Ticket Stage Creation and Updation","","",""
"","2667","Click on Ticket Type for Update","Sanity Tests","Tue Aug 05 16:33:09 IST 2025","passed","Tue Aug 05 16:33:12 IST 2025","Ticket Process Field Setup Tests > Ticket Type Creation and Updation","","",""
"","144","Lead Stage Update","Sanity Tests","Tue Aug 12 15:49:19 IST 2025","passed","Tue Aug 12 15:49:19 IST 2025","Lead Process Field Setup Tests > Lead Stage Creation and Updation","","",""
"","1691","Click on Lead Status for Update","RBL Tests","Wed Aug 13 11:34:48 IST 2025","passed","Wed Aug 13 11:34:50 IST 2025","RBL - Lead Process Field Setup Tests > RBL Lead Status Creation and Updation","RBL/RBL/F_setupLeadProcessField.spec.js","",""
"","20","UpdateTicketFieldTest","Sanity Tests","Mon Aug 04 15:45:49 IST 2025","skipped","Mon Aug 04 15:45:49 IST 2025","Ticket Field Setup Tests","","",""
"","10056","RBL Create Disposition Question","RBL Tests","Mon Aug 11 21:35:49 IST 2025","failed","Mon Aug 11 21:35:59 IST 2025","RBL - Disposition Question Setup Tests","","",""
"","71","RBL Lead Lost Reason Update","RBL Tests","Wed Aug 13 11:34:54 IST 2025","passed","Wed Aug 13 11:34:54 IST 2025","RBL - Lead Process Field Setup Tests > RBL Lead Lost Reason Creation and Updation","RBL/RBL/F_setupLeadProcessField.spec.js","",""
"","7","ClickonLeadLostReasonTest","Sanity Tests","Mon Aug 04 18:16:02 IST 2025","skipped","Mon Aug 04 18:16:02 IST 2025","Lead Process Field Setup Tests","","",""
"","5045","ClickOnLeadStatusNavigationTest","Sanity Tests","Mon Aug 04 16:04:16 IST 2025","failed","Mon Aug 04 16:04:21 IST 2025","Lead Process Field Setup Tests","","",""
